id;application_name;asset_owner;tech_division_manager;application_version;status;last_modification;information
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;DRAFT;2019-07-22;Electronics
2;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;DRAFT;2019-07-22;Refined Rubber Chicken Table
3;Automotive;Planner cross-platform access;Public-key;infomediaries;IN_PROGRESS;2019-07-22;Salad
4;Digitized invoice;convergence;Mayotte;Industrial;VALIDATE;2019-07-22;National Awesome sky blue
5;Tactics;scale interactive generating;Specialist Home Loan Account;Plastic;IN_PROGRESS;2019-07-23;24 hour
6;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;DRAFT;2019-07-22;withdrawal COM
7;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;IN_PROGRESS;2019-07-22;Concrete Investment Account Saint Lucia
8;User-centric;Money Market Account;Salad Web virtual;Refined Squares;VALIDATE;2019-07-22;Ghana back-end National
9;Direct;Profit-focused;Jewelery cutting-edge;Games;DRAFT;2019-07-22;encompassing
10;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;VALIDATE;2019-07-22;Berkshire Small Plastic Pants Investor
